user_id,date,platform,preferred_language,daily_coding_time_minutes,problems_solved,difficulty_level,goal,streak_days
U0053,2024-08-28,Codeforces,C++,245,11,Intermediate,Competitive Programming,28
U0054,2024-01-13,Codeforces,JavaScript,178,8,Beginner,Skill Improvement,44
U0055,2024-11-24,Kaggle,Go,179,0,Beginner,Skill Improvement,22
U0056,2024-10-24,HackerRank,Python,65,13,Intermediate,Skill Improvement,55
U0057,2024-11-06,LeetCode,JavaScript,107,8,Beginner,Interview Prep,0
U0058,2024-09-23,Codeforces,Java,230,2,Advanced,Skill Improvement,79
U0059,2024-06-09,LeetCode,Java,269,9,Advanced,Interview Prep,41
U0060,2024-07-25,HackerRank,Go,75,6,Intermediate,Interview Prep,86
U0061,2024-03-30,HackerRank,JavaScript,290,0,Intermediate,Skill Improvement,26
U0062,2024-08-08,HackerRank,JavaScript,236,14,Advanced,Competitive Programming,65
U0063,2024-08-30,Codeforces,Python,155,10,Beginner,Competitive Programming,86
U0064,2024-06-07,Codeforces,C++,85,0,Beginner,Competitive Programming,60
U0065,2024-11-08,LeetCode,JavaScript,222,6,Advanced,Interview Prep,63
U0066,2024-07-23,Codeforces,C++,12,3,Intermediate,Competitive Programming,22
U0067,2024-12-22,Kaggle,Python,295,7,Beginner,Interview Prep,17
U0068,2024-08-25,HackerRank,JavaScript,268,13,Advanced,Interview Prep,114
U0069,2024-03-22,Kaggle,JavaScript,142,7,Advanced,Skill Improvement,98
U0070,2024-09-23,Kaggle,C++,150,14,Beginner,Skill Improvement,30
U0071,2024-05-19,HackerRank,Java,286,2,Beginner,Competitive Programming,29
U0072,2024-07-15,Codeforces,C++,42,13,Intermediate,Skill Improvement,69
U0073,2024-08-26,Kaggle,Python,115,13,Intermediate,Job Preparation,109
U0074,2024-10-21,Kaggle,JavaScript,13,11,Intermediate,Interview Prep,109
U0075,2024-08-02,Codeforces,JavaScript,122,8,Intermediate,Interview Prep,3
U0076,2024-07-18,HackerRank,JavaScript,94,14,Beginner,Job Preparation,116
U0077,2024-07-20,LeetCode,Python,229,4,Intermediate,Competitive Programming,6
U0078,2024-05-13,Kaggle,Java,118,14,Intermediate,Skill Improvement,97
U0079,2024-07-13,HackerRank,JavaScript,139,2,Intermediate,Job Preparation,95
U0080,2024-10-03,LeetCode,Java,124,2,Advanced,Job Preparation,96
U0081,2024-01-16,Codeforces,C++,20,4,Beginner,Competitive Programming,60
U0082,2024-12-08,LeetCode,Go,121,14,Advanced,Skill Improvement,98
U0083,2024-07-07,Codeforces,Go,68,5,Intermediate,Job Preparation,74
U0084,2024-01-14,HackerRank,Go,202,12,Advanced,Competitive Programming,9
U0085,2024-10-30,Codeforces,Python,164,3,Advanced,Job Preparation,44
U0086,2024-09-29,Kaggle,Java,45,10,Beginner,Interview Prep,105
U0087,2024-09-07,LeetCode,JavaScript,195,14,Advanced,Competitive Programming,55
U0088,2024-03-31,HackerRank,Go,285,15,Intermediate,Interview Prep,105
U0089,2024-10-30,HackerRank,Java,135,2,Intermediate,Interview Prep,31
U0090,2024-08-25,Kaggle,Java,24,15,Intermediate,Competitive Programming,62
U0091,2024-04-18,HackerRank,Java,184,8,Advanced,Skill Improvement,71
U0092,2024-01-06,Codeforces,Python,133,13,Intermediate,Competitive Programming,88
U0093,2024-08-31,Kaggle,JavaScript,18,2,Intermediate,Competitive Programming,51
U0094,2024-12-20,Codeforces,Java,198,15,Advanced,Skill Improvement,54
U0095,2024-10-08,HackerRank,Java,242,8,Intermediate,Skill Improvement,29
U0096,2024-03-02,Codeforces,Java,71,5,Beginner,Competitive Programming,94
U0097,2024-09-04,HackerRank,Go,278,9,Beginner,Competitive Programming,37
U0098,2024-04-26,HackerRank,C++,164,0,Advanced,Competitive Programming,35
U0099,2024-01-24,LeetCode,Go,159,4,Advanced,Interview Prep,13
U0100,2024-01-07,HackerRank,JavaScript,255,14,Intermediate,Competitive Programming,6
U0101,2024-05-09,Kaggle,Python,43,12,Intermediate,Job Preparation,73
U0102,2024-11-18,LeetCode,C++,86,9,Beginner,Competitive Programming,15
U0103,2024-10-12,Kaggle,Go,125,12,Intermediate,Interview Prep,38
U0104,2024-10-28,Kaggle,Java,40,3,Beginner,Competitive Programming,33
U0105,2024-12-04,LeetCode,C++,132,5,Advanced,Job Preparation,20
U0106,2024-01-02,Kaggle,JavaScript,250,9,Beginner,Competitive Programming,36
U0107,2024-12-27,HackerRank,JavaScript,46,7,Intermediate,Competitive Programming,54
U0108,2024-02-28,Codeforces,C++,146,4,Beginner,Job Preparation,21
U0109,2024-06-06,HackerRank,JavaScript,73,14,Advanced,Skill Improvement,89
U0110,2024-07-25,HackerRank,Go,286,15,Intermediate,Job Preparation,76
U0111,2024-01-21,Kaggle,Java,138,0,Beginner,Competitive Programming,86
U0112,2024-10-21,LeetCode,Java,30,5,Intermediate,Interview Prep,117
U0113,2024-05-22,Codeforces,Go,233,15,Beginner,Interview Prep,44
U0114,2024-07-28,HackerRank,Java,63,5,Intermediate,Interview Prep,88
U0115,2024-09-10,HackerRank,JavaScript,291,1,Intermediate,Job Preparation,40
U0116,2024-05-09,HackerRank,Python,216,0,Advanced,Interview Prep,52
U0117,2024-01-28,Codeforces,Go,195,15,Advanced,Interview Prep,97
U0118,2024-01-27,Codeforces,Java,291,4,Intermediate,Interview Prep,112
U0119,2024-12-23,Kaggle,Python,24,7,Advanced,Competitive Programming,39
U0120,2024-10-09,LeetCode,Go,218,2,Beginner,Job Preparation,59
U0121,2024-03-01,Codeforces,JavaScript,159,8,Intermediate,Interview Prep,60
U0122,2024-05-04,Kaggle,Go,84,12,Beginner,Competitive Programming,110
U0123,2024-02-05,HackerRank,JavaScript,184,8,Beginner,Skill Improvement,92
U0124,2024-06-01,Kaggle,C++,238,15,Intermediate,Skill Improvement,70
U0125,2024-10-05,Kaggle,JavaScript,174,6,Advanced,Competitive Programming,73
U0126,2024-07-15,Codeforces,JavaScript,32,10,Advanced,Interview Prep,90
U0127,2024-07-14,Kaggle,C++,263,1,Beginner,Skill Improvement,111
U0128,2024-02-21,Kaggle,Python,279,14,Beginner,Competitive Programming,52
U0129,2024-12-01,Codeforces,Python,250,8,Intermediate,Interview Prep,83
U0130,2024-02-11,HackerRank,Go,204,10,Advanced,Interview Prep,111
U0131,2024-10-04,LeetCode,Go,45,7,Advanced,Skill Improvement,29
U0132,2024-02-16,Kaggle,Python,61,14,Beginner,Skill Improvement,115
U0133,2024-01-15,LeetCode,Java,38,9,Intermediate,Skill Improvement,55
U0134,2024-03-15,Codeforces,Go,220,5,Beginner,Competitive Programming,10
U0135,2024-11-08,Kaggle,Go,133,15,Advanced,Competitive Programming,29
U0136,2024-08-24,HackerRank,JavaScript,140,0,Intermediate,Skill Improvement,86
U0137,2024-10-06,Codeforces,Python,236,11,Advanced,Skill Improvement,81
U0138,2024-08-05,HackerRank,JavaScript,164,6,Intermediate,Interview Prep,13
U0139,2024-05-01,Kaggle,Go,193,9,Advanced,Skill Improvement,2
U0140,2024-12-03,Kaggle,Java,14,1,Advanced,Interview Prep,106
U0141,2024-05-26,Codeforces,Go,190,7,Advanced,Competitive Programming,79
U0142,2024-05-08,Codeforces,Python,30,9,Intermediate,Job Preparation,74
U0143,2024-07-05,Codeforces,Python,161,10,Advanced,Interview Prep,22
U0144,2024-04-12,Codeforces,Go,197,8,Beginner,Skill Improvement,116
U0145,2024-09-03,HackerRank,Java,68,14,Beginner,Competitive Programming,96
U0146,2024-04-25,Kaggle,Go,197,2,Intermediate,Job Preparation,33
U0147,2024-10-01,LeetCode,JavaScript,198,8,Advanced,Interview Prep,105
U0148,2024-11-22,HackerRank,Python,129,15,Beginner,Skill Improvement,117
U0149,2024-11-08,Codeforces,Python,247,9,Advanced,Interview Prep,14
U0150,2024-03-12,LeetCode,Python,165,15,Beginner,Job Preparation,30
U0151,2024-10-02,Codeforces,JavaScript,242,11,Advanced,Interview Prep,75
U0152,2024-03-20,Kaggle,Python,260,13,Intermediate,Job Preparation,88
U0153,2024-07-08,Codeforces,JavaScript,237,7,Intermediate,Job Preparation,87
U0154,2024-07-07,HackerRank,Python,213,8,Beginner,Job Preparation,108
U0155,2024-08-20,LeetCode,C++,20,1,Intermediate,Competitive Programming,16
U0156,2024-10-16,Codeforces,Python,293,6,Advanced,Competitive Programming,104
U0157,2024-04-29,HackerRank,C++,11,8,Beginner,Competitive Programming,69
U0158,2024-05-08,Codeforces,Python,23,4,Beginner,Skill Improvement,101
U0159,2024-05-01,HackerRank,Python,99,8,Beginner,Competitive Programming,94
U0160,2024-08-03,LeetCode,Python,253,14,Intermediate,Job Preparation,57
U0161,2024-09-14,Codeforces,Go,32,9,Intermediate,Job Preparation,7
U0162,2024-09-02,Kaggle,JavaScript,65,15,Advanced,Interview Prep,9
U0163,2024-02-11,HackerRank,Go,85,2,Beginner,Skill Improvement,79
U0164,2024-11-20,HackerRank,JavaScript,281,9,Intermediate,Interview Prep,12
U0165,2024-12-25,LeetCode,Go,120,13,Intermediate,Competitive Programming,52
U0166,2024-06-22,Kaggle,JavaScript,222,3,Intermediate,Interview Prep,40
U0167,2024-12-06,HackerRank,Java,88,15,Beginner,Job Preparation,106
U0168,2024-02-13,LeetCode,JavaScript,59,11,Beginner,Job Preparation,75
U0169,2024-10-14,HackerRank,Python,220,11,Advanced,Interview Prep,111
U0170,2024-01-27,HackerRank,Go,169,11,Beginner,Competitive Programming,19
U0171,2024-12-02,Kaggle,C++,65,11,Advanced,Skill Improvement,14
U0172,2024-05-22,Codeforces,JavaScript,297,0,Advanced,Skill Improvement,3
U0173,2024-04-02,HackerRank,Java,183,11,Beginner,Competitive Programming,111
U0174,2024-03-14,Kaggle,Python,82,0,Beginner,Competitive Programming,48
U0175,2024-08-02,Kaggle,Java,90,11,Intermediate,Skill Improvement,99
U0176,2024-10-17,LeetCode,Python,89,5,Advanced,Job Preparation,86
U0177,2024-02-11,HackerRank,JavaScript,227,15,Advanced,Interview Prep,53
U0178,2024-05-19,Codeforces,Go,68,11,Intermediate,Job Preparation,36
U0179,2024-12-13,Kaggle,Go,167,1,Beginner,Interview Prep,76
U0180,2024-01-29,LeetCode,C++,164,6,Beginner,Skill Improvement,37
U0181,2024-06-16,LeetCode,Python,264,13,Beginner,Competitive Programming,48
U0182,2024-09-29,Codeforces,Go,296,11,Beginner,Interview Prep,110
U0183,2024-01-22,Kaggle,Python,245,2,Intermediate,Interview Prep,73
U0184,2024-07-26,Kaggle,Java,68,12,Beginner,Skill Improvement,21
U0185,2024-11-12,Kaggle,Java,55,13,Beginner,Competitive Programming,55
U0186,2024-10-28,Kaggle,Go,50,12,Intermediate,Skill Improvement,28
U0187,2024-06-19,Codeforces,Python,271,3,Advanced,Competitive Programming,115
U0188,2024-06-27,HackerRank,C++,130,3,Beginner,Skill Improvement,25
U0189,2024-03-29,Codeforces,Python,100,15,Intermediate,Interview Prep,87
U0190,2024-10-16,HackerRank,Java,87,14,Beginner,Interview Prep,56
U0191,2024-11-19,HackerRank,Java,38,11,Advanced,Job Preparation,39
U0192,2024-08-24,Kaggle,Python,39,11,Intermediate,Job Preparation,82
U0193,2024-02-16,Kaggle,JavaScript,293,1,Intermediate,Competitive Programming,41
U0194,2024-11-05,Kaggle,Go,87,1,Intermediate,Job Preparation,103
U0195,2024-06-24,LeetCode,Go,98,1,Beginner,Interview Prep,56
U0196,2024-09-25,Codeforces,Java,200,9,Intermediate,Interview Prep,99
U0197,2024-06-22,LeetCode,Java,43,10,Beginner,Interview Prep,36
U0198,2024-05-09,Codeforces,Java,51,4,Intermediate,Skill Improvement,83
U0199,2024-12-23,Kaggle,C++,53,9,Advanced,Interview Prep,82
U0200,2024-06-17,Codeforces,Go,57,13,Advanced,Skill Improvement,2
U0201,2024-07-04,HackerRank,C++,119,10,Intermediate,Competitive Programming,28
U0202,2024-03-11,Codeforces,Python,161,3,Advanced,Job Preparation,84
U0203,2024-06-21,Codeforces,Go,202,4,Beginner,Competitive Programming,106
U0204,2024-12-20,Codeforces,JavaScript,32,13,Intermediate,Competitive Programming,56
U0205,2024-11-08,HackerRank,JavaScript,129,7,Intermediate,Interview Prep,115
U0206,2024-04-09,HackerRank,Go,235,14,Intermediate,Interview Prep,64
U0207,2024-09-27,Kaggle,C++,112,4,Intermediate,Job Preparation,82
U0208,2024-09-03,HackerRank,Go,62,3,Intermediate,Job Preparation,97
U0209,2024-03-23,HackerRank,JavaScript,272,4,Intermediate,Job Preparation,116
U0210,2024-04-23,Kaggle,Java,23,13,Beginner,Interview Prep,64
U0211,2024-07-10,Codeforces,JavaScript,51,11,Beginner,Job Preparation,40
U0212,2024-02-20,HackerRank,C++,80,1,Intermediate,Interview Prep,89
U0213,2024-03-12,Kaggle,JavaScript,12,2,Beginner,Skill Improvement,27
U0214,2024-03-17,Kaggle,Python,157,7,Intermediate,Job Preparation,6
U0215,2024-05-02,Kaggle,Go,244,2,Beginner,Interview Prep,76
U0216,2024-10-01,LeetCode,Go,133,4,Intermediate,Interview Prep,0
U0217,2024-11-10,HackerRank,C++,223,5,Advanced,Job Preparation,67
U0218,2024-07-03,LeetCode,Go,288,0,Intermediate,Interview Prep,5
U0219,2024-11-21,Kaggle,Java,139,0,Intermediate,Job Preparation,44
U0220,2024-05-03,LeetCode,Go,180,4,Beginner,Skill Improvement,69
U0221,2024-06-22,Codeforces,JavaScript,255,5,Beginner,Job Preparation,91
U0222,2024-08-22,LeetCode,Java,113,1,Beginner,Job Preparation,40
U0223,2024-06-07,Kaggle,Go,252,8,Beginner,Competitive Programming,36
U0224,2024-07-01,LeetCode,Java,149,3,Intermediate,Interview Prep,113
U0225,2024-07-23,Kaggle,JavaScript,183,5,Intermediate,Interview Prep,47
U0226,2024-09-22,HackerRank,Python,227,2,Intermediate,Competitive Programming,69
U0227,2024-05-30,HackerRank,Python,50,10,Advanced,Skill Improvement,39
U0228,2024-08-16,Kaggle,C++,237,11,Intermediate,Job Preparation,93
U0229,2024-06-29,Kaggle,Java,39,2,Advanced,Interview Prep,46
U0230,2024-09-19,Codeforces,Python,83,14,Beginner,Competitive Programming,8
U0231,2024-04-30,HackerRank,Java,206,1,Advanced,Competitive Programming,86
U0232,2024-08-18,HackerRank,Java,237,2,Advanced,Competitive Programming,67
U0233,2024-07-06,Kaggle,Java,152,7,Beginner,Job Preparation,94
U0234,2024-04-05,Kaggle,Go,208,3,Intermediate,Skill Improvement,90
U0235,2024-08-16,Codeforces,Go,156,15,Beginner,Job Preparation,17
U0236,2024-02-07,Kaggle,C++,237,2,Advanced,Skill Improvement,85
U0237,2024-06-26,LeetCode,Go,287,9,Intermediate,Competitive Programming,91
U0238,2024-12-29,Codeforces,Java,270,7,Beginner,Competitive Programming,101
U0239,2024-03-12,Codeforces,JavaScript,23,11,Advanced,Skill Improvement,59
U0240,2024-10-09,Codeforces,Go,54,2,Intermediate,Interview Prep,91
U0241,2024-09-02,Kaggle,JavaScript,47,4,Intermediate,Job Preparation,57
U0242,2024-08-26,HackerRank,C++,292,5,Beginner,Interview Prep,64
U0243,2024-01-29,LeetCode,Go,88,9,Beginner,Competitive Programming,41
U0244,2024-12-29,Codeforces,Java,275,9,Beginner,Skill Improvement,25
U0245,2024-11-21,HackerRank,C++,165,2,Advanced,Competitive Programming,75
U0246,2024-10-24,Codeforces,C++,182,1,Beginner,Job Preparation,5
U0247,2024-11-24,HackerRank,C++,223,0,Intermediate,Skill Improvement,82
U0248,2024-06-03,Kaggle,C++,217,9,Intermediate,Job Preparation,88
U0249,2024-01-31,Codeforces,JavaScript,222,15,Intermediate,Competitive Programming,43
U0250,2024-11-06,Codeforces,Java,173,11,Intermediate,Competitive Programming,97
U0251,2024-07-08,LeetCode,Java,133,14,Beginner,Skill Improvement,57
U0252,2024-05-06,Codeforces,Python,35,9,Intermediate,Interview Prep,31
U0253,2024-03-22,HackerRank,Go,170,6,Beginner,Interview Prep,65
U0254,2024-08-27,Kaggle,Java,264,0,Beginner,Interview Prep,64
U0255,2024-08-22,Codeforces,C++,190,1,Beginner,Skill Improvement,63
U0256,2024-11-01,Kaggle,Java,284,0,Beginner,Interview Prep,17
U0257,2024-05-15,HackerRank,JavaScript,197,1,Intermediate,Job Preparation,72
U0258,2024-10-14,Codeforces,Java,293,9,Beginner,Interview Prep,64
U0259,2024-08-18,HackerRank,Go,70,4,Beginner,Interview Prep,47
U0260,2024-06-22,HackerRank,C++,111,12,Advanced,Job Preparation,5
U0261,2024-01-20,Codeforces,Java,252,14,Beginner,Competitive Programming,41
U0262,2024-11-09,HackerRank,C++,211,9,Advanced,Skill Improvement,64
U0263,2024-09-17,Kaggle,Go,163,15,Beginner,Skill Improvement,42
U0264,2024-12-10,LeetCode,JavaScript,167,0,Advanced,Interview Prep,33
U0265,2024-12-01,Codeforces,Python,255,5,Advanced,Interview Prep,18
U0266,2024-12-14,Codeforces,Python,66,6,Beginner,Interview Prep,40
U0267,2024-08-02,Codeforces,JavaScript,114,13,Advanced,Interview Prep,111
U0268,2024-02-01,Codeforces,Go,116,10,Advanced,Interview Prep,67
U0269,2024-07-11,HackerRank,C++,245,10,Advanced,Skill Improvement,86
U0270,2024-12-14,HackerRank,Go,257,6,Beginner,Skill Improvement,71
U0271,2024-06-01,Codeforces,Java,157,6,Advanced,Interview Prep,40
U0272,2024-09-02,HackerRank,Go,150,9,Beginner,Interview Prep,114
U0273,2024-07-21,HackerRank,C++,158,1,Intermediate,Job Preparation,44
U0274,2024-08-14,HackerRank,JavaScript,119,6,Advanced,Skill Improvement,119
U0275,2024-10-14,HackerRank,C++,65,7,Beginner,Job Preparation,85
U0276,2024-09-28,Codeforces,C++,36,3,Intermediate,Skill Improvement,91
U0277,2024-08-29,LeetCode,C++,12,5,Intermediate,Interview Prep,61
U0278,2024-11-29,Codeforces,Java,174,9,Advanced,Job Preparation,116
U0279,2024-02-15,Codeforces,Go,29,5,Intermediate,Competitive Programming,119
U0280,2024-01-19,Kaggle,JavaScript,105,9,Beginner,Job Preparation,38
U0281,2024-10-17,LeetCode,Java,155,14,Advanced,Interview Prep,113
U0282,2024-03-09,Kaggle,Java,108,3,Intermediate,Competitive Programming,93
U0283,2024-08-22,HackerRank,C++,17,10,Intermediate,Competitive Programming,22
U0284,2024-11-08,Kaggle,JavaScript,273,10,Beginner,Interview Prep,85
U0285,2024-02-18,Codeforces,C++,254,10,Beginner,Job Preparation,33
U0286,2024-07-15,Codeforces,JavaScript,146,10,Intermediate,Job Preparation,33
U0287,2024-11-30,HackerRank,C++,41,3,Intermediate,Skill Improvement,20
U0288,2024-07-26,HackerRank,Python,161,11,Advanced,Competitive Programming,28
U0289,2024-03-09,Kaggle,C++,242,11,Intermediate,Interview Prep,96
U0290,2024-10-02,Codeforces,C++,51,14,Advanced,Skill Improvement,9
U0291,2024-10-15,LeetCode,Python,290,6,Advanced,Competitive Programming,21
U0292,2024-06-16,Kaggle,Python,115,15,Beginner,Interview Prep,103
U0293,2024-01-29,Kaggle,C++,272,13,Intermediate,Job Preparation,71
U0294,2024-08-24,HackerRank,Python,212,8,Beginner,Competitive Programming,74
U0295,2024-02-07,LeetCode,JavaScript,186,2,Advanced,Job Preparation,119
U0296,2024-02-05,Kaggle,Python,156,13,Beginner,Competitive Programming,98
U0297,2024-11-24,Kaggle,Java,205,14,Intermediate,Interview Prep,10
U0298,2024-12-15,Codeforces,Java,70,5,Advanced,Interview Prep,67
U0299,2024-03-06,Codeforces,Python,21,9,Intermediate,Interview Prep,68
U0300,2024-07-13,Codeforces,C++,245,11,Beginner,Skill Improvement,24
U0301,2024-02-27,LeetCode,JavaScript,18,7,Beginner,Job Preparation,12
U0302,2024-10-31,LeetCode,JavaScript,34,7,Advanced,Job Preparation,51
U0303,2024-08-12,Codeforces,Go,121,1,Beginner,Skill Improvement,29
U0304,2024-10-21,HackerRank,Go,174,7,Intermediate,Competitive Programming,84
U0305,2024-09-23,Codeforces,JavaScript,163,8,Beginner,Competitive Programming,80
U0306,2024-12-13,Kaggle,Go,263,1,Intermediate,Interview Prep,100
U0307,2024-09-25,HackerRank,JavaScript,219,4,Intermediate,Interview Prep,23
U0308,2024-10-02,Kaggle,C++,125,9,Advanced,Competitive Programming,103
U0309,2024-08-25,LeetCode,Go,221,13,Advanced,Competitive Programming,49
U0310,2024-05-04,HackerRank,C++,179,2,Intermediate,Skill Improvement,11
U0311,2024-10-01,Codeforces,Python,147,12,Advanced,Job Preparation,111
U0312,2024-02-07,Codeforces,Go,296,6,Intermediate,Competitive Programming,111
U0313,2024-06-19,HackerRank,Python,118,6,Advanced,Job Preparation,95
U0314,2024-09-02,Codeforces,Go,114,12,Beginner,Skill Improvement,99
U0315,2024-05-24,Kaggle,JavaScript,283,11,Intermediate,Skill Improvement,46
U0316,2024-09-19,Kaggle,JavaScript,60,15,Intermediate,Competitive Programming,47
U0317,2024-06-09,Kaggle,Python,298,7,Advanced,Competitive Programming,2
U0318,2024-05-13,Kaggle,Java,88,6,Intermediate,Competitive Programming,48
U0319,2024-10-18,Codeforces,JavaScript,291,10,Intermediate,Interview Prep,92
U0320,2024-11-24,Kaggle,JavaScript,96,11,Beginner,Competitive Programming,92
U0321,2024-10-06,Kaggle,C++,287,1,Advanced,Job Preparation,107
U0322,2024-02-08,LeetCode,Python,221,4,Advanced,Competitive Programming,8
U0323,2024-12-28,Codeforces,Python,121,14,Intermediate,Job Preparation,79
U0324,2024-11-22,Kaggle,JavaScript,18,0,Advanced,Interview Prep,1
U0325,2024-01-09,HackerRank,Go,156,0,Advanced,Interview Prep,103
U0326,2024-04-01,LeetCode,Python,278,4,Beginner,Competitive Programming,79
U0327,2024-09-26,HackerRank,Java,146,12,Beginner,Skill Improvement,51
U0328,2024-08-23,Codeforces,C++,163,2,Advanced,Job Preparation,11
U0329,2024-07-26,Kaggle,JavaScript,292,15,Beginner,Job Preparation,89
U0330,2024-03-28,LeetCode,JavaScript,232,10,Advanced,Job Preparation,114
U0331,2024-09-27,LeetCode,C++,118,15,Intermediate,Job Preparation,118
U0332,2024-02-08,HackerRank,Go,298,1,Beginner,Skill Improvement,2
U0333,2024-04-16,Codeforces,JavaScript,49,9,Beginner,Competitive Programming,72
U0334,2024-07-18,HackerRank,JavaScript,81,2,Advanced,Skill Improvement,6
U0335,2024-02-20,Kaggle,C++,48,10,Advanced,Interview Prep,99
U0336,2024-06-16,LeetCode,Java,240,15,Beginner,Skill Improvement,70
U0337,2024-07-11,Kaggle,C++,204,2,Advanced,Skill Improvement,102
U0338,2024-05-06,LeetCode,Python,147,4,Intermediate,Competitive Programming,94
U0339,2024-07-18,HackerRank,Java,64,2,Beginner,Skill Improvement,56
U0340,2024-07-03,HackerRank,Python,77,2,Beginner,Interview Prep,57
U0341,2024-10-12,Kaggle,Python,23,2,Intermediate,Job Preparation,76
U0342,2024-11-02,HackerRank,JavaScript,16,9,Intermediate,Interview Prep,99
U0343,2024-02-13,Codeforces,Go,276,5,Advanced,Interview Prep,21
U0344,2024-03-12,HackerRank,Java,147,15,Beginner,Job Preparation,21
U0345,2024-08-10,HackerRank,JavaScript,163,15,Beginner,Skill Improvement,32
U0346,2024-05-06,Kaggle,Go,110,14,Beginner,Competitive Programming,38
U0347,2024-01-04,Kaggle,Java,204,10,Intermediate,Skill Improvement,55
U0348,2024-11-29,Codeforces,Java,174,6,Intermediate,Skill Improvement,22
U0349,2024-07-22,HackerRank,Java,261,7,Intermediate,Interview Prep,35
U0350,2024-07-20,HackerRank,Python,298,6,Advanced,Competitive Programming,87
U0351,2024-10-08,LeetCode,JavaScript,117,14,Intermediate,Job Preparation,104
U0352,2024-07-28,Kaggle,C++,165,7,Intermediate,Competitive Programming,91
